estado;punto;tipo_cod;tipo;letra;numero;agenda;fecha;vencimiento;importe;cancelado;moneda_cod;importe_moneda;cancelado_moneda
0x9d;01900;02;FA;B;19211801;00000243;2026-01-07;2026-01-07;1155.22;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211835;00000243;2026-01-26;2026-01-26;266.37;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211851;00000058;2026-02-11;2026-02-11;294.14;178.3;0;0.0;0.0
0x9d;01900;02;FA;B;19211872;00000221;2026-02-20;2026-02-20;658.42;126.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211891;00000058;2026-03-09;2026-03-09;530.94;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211910;00000058;2026-03-25;2026-03-25;410.77;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211926;00000058;2026-04-01;2026-04-01;565.96;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211951;00000221;2026-04-09;2026-04-09;331.66;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211953;00000255;2026-04-13;2026-04-13;395.16;383.22;0;0.0;0.0
0x9d;01900;02;FA;B;19211973;00000221;2026-04-27;2026-04-27;345.54;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211979;00000221;2026-03-17;2026-03-17;726.66;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211987;00000221;2026-05-04;2026-05-04;1002.35;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211992;00000221;2026-05-07;2026-05-07;314.32;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19211998;00000132;2026-05-18;2026-05-18;551.12;551.12;0;0.0;0.0
0x9d;01900;02;FA;B;19212030;00000058;2026-06-01;2026-06-01;210.07;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212034;00000221;2026-06-04;2026-06-04;299.64;299.64;0;0.0;0.0
0x9d;01900;02;FA;B;19212038;00000132;2026-06-16;2026-06-16;722.19;722.19;0;0.0;0.0
0x9d;01900;02;FA;B;19212039;00000058;2026-06-16;2026-06-16;194.59;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212048;00000325;2026-06-16;2026-06-16;42.15;8.12;0;0.0;0.0
0x9d;01900;02;FA;B;19212049;00000040;2026-06-16;2026-06-16;69.8;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212056;00000066;2026-06-16;2026-06-16;144.04;144.04;0;0.0;0.0
0x9d;01900;02;FA;B;19212067;00000221;2026-06-26;2026-06-26;283.58;283.58;0;0.0;0.0
0x9d;01900;02;FA;B;19212070;00000219;2026-06-29;2026-06-29;73.93;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212076;00000068;2026-06-30;2026-06-30;2934.77;2934.77;0;0.0;0.0
0x9d;01900;02;FA;B;19212098;00000221;2026-07-03;2026-07-03;184.29;184.29;0;0.0;0.0
0x9d;01900;02;FA;B;19212100;00000191;2026-07-08;2026-07-08;1243.5;670.92;0;0.0;0.0
0x9d;01900;02;FA;B;19212104;00000132;2026-07-13;2026-07-13;1137.94;1137.94;0;0.0;0.0
0x9d;01900;02;FA;B;19212106;00000043;2026-07-13;2026-07-13;1048.37;1048.37;0;0.0;0.0
0x9d;01900;02;FA;B;19212110;00000068;2026-07-13;2026-07-13;264.33;264.33;0;0.0;0.0
0x9d;01900;02;FA;B;19212111;00000202;2026-07-20;2026-07-20;129.39;129.39;0;0.0;0.0
0x9d;01900;02;FA;B;19212114;00000066;2026-07-17;2026-07-17;843.99;129.12;0;0.0;0.0
0x9d;01900;02;FA;B;19212120;00000043;2026-07-22;2026-07-22;2832.05;545.22;0;0.0;0.0
0x9d;01900;02;FA;B;19212128;00000034;2026-07-29;2026-07-29;1978.5;1978.5;0;0.0;0.0
0x9d;01900;02;FA;B;19212131;00000068;2026-08-03;2026-08-03;2337.15;550.6;0;0.0;0.0
0x9d;01900;02;FA;B;19212140;00000072;2026-08-10;2026-08-10;389.49;192.62;0;0.0;0.0
0x9d;01900;02;FA;B;19212141;00000063;2026-08-12;2026-08-12;3543.95;3543.95;0;0.0;0.0
0x9d;01900;02;FA;B;19212142;00000132;2026-08-12;2026-08-12;2369.83;2369.83;0;0.0;0.0
0x9d;01900;02;FA;B;19212143;00000061;2026-08-12;2026-08-12;4251.03;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212146;00000246;2026-08-11;2026-08-11;307.02;100.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212150;00000068;2026-08-12;2026-08-12;244.77;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212152;00000350;2026-05-08;2026-05-08;383.99;383.99;0;0.0;0.0
0x9d;01900;02;FA;B;19212156;00000350;2026-08-07;2026-08-07;752.18;752.18;0;0.0;0.0
0x9d;01900;02;FA;B;19212164;00000252;2026-08-19;2026-08-19;455.45;455.45;0;0.0;0.0
0x9d;01900;02;FA;B;19212165;00000068;2026-08-20;2026-08-20;1190.48;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212167;00000090;2026-08-20;2026-08-20;824.47;824.47;0;0.0;0.0
0x9d;01900;02;FA;B;19212168;00000221;2026-08-20;2026-08-20;378.31;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212169;00000068;2026-08-24;2026-08-24;1187.71;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212170;00000344;2026-08-24;2026-08-24;704.72;704.72;0;0.0;0.0
0x60;01900;05;RC;;00000166;00000157;2022-05-04;2022-05-04;864.0;756.0;0;0.0;0.0
0x60;01900;05;RC;;00000429;00000113;2023-02-01;2023-02-01;100.0;87.04;0;0.0;0.0
0x60;01900;05;RC;;00001014;00000246;2025-10-27;2025-10-27;272.0;260.0;0;0.0;0.0
0x60;01900;05;RC;;00001139;00000309;2026-01-08;2026-01-08;2072.77;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001361;00000056;2026-08-20;2026-08-20;5000.0;394.21;0;0.0;0.0
0x60;01900;05;RC;;00001362;00000056;2026-08-21;2026-08-21;167.0;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001367;00000056;2026-08-26;2026-08-26;300.0;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001368;00000056;2026-08-26;2026-08-26;554.0;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001369;00000056;2026-08-25;2026-08-25;1032.0;0.0;0;0.0;0.0
0x60;01900;05;RC;;00007190;00000064;2024-07-11;2024-07-11;302.93;238.99;0;0.0;0.0
0x60;01900;05;RC;;00007790;00000167;2025-12-23;2025-12-23;200.0;170.18;0;0.0;0.0
0x60;01900;05;RC;;00007866;00000068;2026-03-17;2026-03-17;706.71;567.31;0;0.0;0.0
0x60;01900;05;RC;;00007940;00000246;2026-06-22;2026-06-22;1067.0;935.68;0;0.0;0.0
0x60;01900;19;19;;00000003;00000064;2025-03-06;2025-03-06;45.12;0.0;0;0.0;0.0
0x60;01900;19;19;;00000006;00000113;2025-03-11;2025-03-11;12.96;0.0;0;0.0;0.0
0x60;01900;19;19;;00000007;00000113;2025-03-11;2025-03-11;25.92;0.0;0;0.0;0.0
0x60;01900;19;19;;00000008;00000157;2025-03-11;2025-03-11;108.0;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001372;00000056;2026-08-21;2026-08-21;1100.0;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212172;00000297;2026-08-24;2026-08-24;1071.0;1071.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212173;00000122;2026-08-26;2026-08-26;210.06;210.06;0;0.0;0.0
0x9d;01900;02;FA;B;19212174;00000122;2026-08-19;2026-08-19;517.88;517.88;0;0.0;0.0
0x9d;01900;02;FA;A;00000264;00000080;2026-08-18;2026-08-18;149.99;149.99;0;0.0;0.0
0x9d;01900;02;FA;A;00000265;00000080;2026-08-19;2026-08-19;75.0;75.0;0;0.0;0.0
0x60;01900;05;RC;;00008053;00000080;2026-08-21;2026-08-21;300.0;224.99;0;0.0;0.0
0x9d;00003;02;FA;A;00001355;00000308;2026-08-25;2026-08-25;209159.1;209159.1;1;136.26;136.26
0x9d;00003;02;FA;A;00001356;00000022;2026-08-26;2026-08-26;2075766.3;0.0;1;1356.71;0.0
0x9d;01900;02;FA;B;19212175;00000181;2026-08-25;2026-08-25;611.62;611.62;0;0.0;0.0
0x9d;01900;02;FA;B;19212176;00000181;2026-08-26;2026-08-26;611.62;611.62;0;0.0;0.0
0x9d;00003;02;FA;A;00001357;00000235;2026-08-26;2026-08-26;2422915.65;2422915.65;1;1583.61;1583.61
0x9d;01900;02;FA;B;19212177;00000181;2026-08-26;2026-08-26;611.62;611.62;0;0.0;0.0
0x9d;01900;02;FA;A;00000266;00000143;2026-08-28;2026-08-28;200.0;200.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212178;00000296;2026-08-24;2026-08-24;261.2;261.2;0;0.0;0.0
0x9d;01900;02;FA;A;00000267;00000006;2026-08-31;2026-08-31;568.42;0.0;0;0.0;0.0
0x9d;01900;02;FA;A;00000268;00000136;2026-08-31;2026-08-31;184.8;0.0;0;0.0;0.0
0x9d;00003;02;FA;A;00001358;00000295;2026-08-26;2026-08-26;295596.0;0.0;1;193.2;0.0
0x9d;00003;02;FA;A;00001359;00000295;2026-08-26;2026-08-26;142060.5;0.0;1;92.85;0.0
0x9d;00003;02;FA;A;00001360;00000067;2026-09-03;2026-09-03;912260.77;912260.77;0;0.0;0.0
0x9d;00003;02;FA;A;00001361;00000067;2026-09-04;2026-09-04;1410876.78;1410876.78;0;0.0;0.0
0x9d;01900;02;FA;B;19212179;00000214;2026-09-02;2026-09-02;359.39;359.39;0;0.0;0.0
0x9d;01900;02;FA;B;19212180;00000112;2026-09-03;2026-09-03;3005.17;3005.17;0;0.0;0.0
0x9d;01900;02;FA;B;19212181;00000112;2026-08-24;2026-08-24;275.27;275.27;0;0.0;0.0
0x9d;01900;02;FA;B;19212182;00000312;2026-09-02;2026-09-02;419.58;419.58;0;0.0;0.0
0x9d;01900;02;FA;B;19212183;00000305;2026-09-03;2026-09-03;420.14;420.14;0;0.0;0.0
0x9d;01900;02;FA;B;19212184;00000170;2026-09-07;2026-09-07;2040.37;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001377;00000056;2026-08-24;2026-08-24;2000.0;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001385;00000132;2026-09-02;2026-09-02;4870.61;4687.25;0;0.0;0.0
0x9d;01900;02;FA;A;00000269;00000218;2026-08-31;2026-08-31;220.81;220.81;0;0.0;0.0
0x9d;01900;02;FA;A;00000270;00000169;2026-08-27;2026-08-27;453.45;453.45;0;0.0;0.0
0x9d;01900;02;FA;B;19212185;00000296;2026-08-26;2026-08-26;61.9;61.9;0;0.0;0.0
0x9d;01900;02;FA;B;19212186;00000354;2026-08-14;2026-08-14;2260.79;0.0;0;0.0;0.0
0x60;01900;05;RC;;00001390;00000200;2026-09-07;2026-09-07;2495.75;0.0;0;0.0;0.0
0x9d;01900;02;FA;A;00000271;00000006;2026-09-07;2026-09-07;426.41;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212187;00000344;2026-09-07;2026-09-07;661.01;0.0;0;0.0;0.0
0x9d;00003;02;FA;A;00001362;00000005;2026-09-07;2026-09-07;709308.0;709308.0;1;463.6;463.6
0x9d;00003;02;FA;B;00000211;00000017;2026-09-07;2026-09-07;1069737.75;1069737.75;1;699.18;699.18
0x9d;00003;02;FA;A;00001363;00000281;2026-09-07;2026-09-07;257108.85;257108.85;1;168.05;168.05
0x9d;00003;02;FA;A;00001364;00000235;2026-09-09;2026-09-09;5661604.35;5661604.35;1;3700.4;3700.4
0x9d;00003;02;FA;A;00001365;00000139;2026-09-09;2026-09-09;9778406.26;0.0;1;6391.12;0.0
0x9d;00003;02;FA;A;00001366;00000025;2026-09-09;2026-09-09;2796901.2;0.0;1;1828.04;0.0
0x9d;00003;02;FA;A;00001367;00000007;2026-09-09;2026-09-09;1692807.3;0.0;1;1106.41;0.0
0x9d;00003;02;FA;A;00001368;00000004;2026-09-09;2026-09-09;4922178.3;0.0;1;3217.11;0.0
0x9d;01900;02;FA;B;19212188;00000132;2026-09-09;2026-09-09;5446.91;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212189;00000132;2026-09-09;2026-09-09;367.02;0.0;0;0.0;0.0
0x9d;01900;02;FA;A;00000272;00000006;2026-09-09;2026-09-09;683.77;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212190;00000045;2026-09-09;2026-09-09;735.92;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212191;00000061;2026-09-09;2026-09-09;2047.99;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212192;00000063;2026-09-09;2026-09-09;6913.49;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212062;00000056;2026-06-25;2026-06-25;18474.0;17449.0;0;0.0;0.0
0x60;01900;05;RC;;00001397;00000056;2026-09-10;2026-09-10;2800.0;0.0;0;0.0;0.0
