agenda;fecha;importe;c1_punto;c1_tipo;c1_letra;c1_numero;c2_punto;c2_tipo;c2_letra;c2_numero
00000013;2026-01-14;106927.17;00003;02;A;00000690;00003;04;A;00000139
00000173;2026-01-14;20973.35;00003;02;A;00000414;00003;04;A;00000081
00000004;2026-02-18;2329749.1;00003;02;A;00001145;00003;04;A;00000149
00000014;2026-02-23;223425.5;00003;02;A;00001176;00003;04;A;00000152
00000034;2026-03-16;790.77;01900;02;B;19211772;01900;05;;00007725
00000034;2026-03-16;535.94;01900;02;B;19211855;01900;05;;00007725
00000056;2026-03-16;1410.0;01900;02;B;19211882;01900;04;B;00000019
00000067;2026-03-18;92542.23;00003;02;A;00001210;00003;04;A;00000157
00000067;2026-03-18;92542.23;00003;02;A;00001195;00003;04;A;00000158
00000139;2026-04-13;335279.8;00003;02;A;00001157;00003;04;A;00000150
00000005;2026-05-20;703504.58;00003;02;A;00001214;00003;04;A;00000161
00000005;2026-05-20;299642.2;00003;02;A;00001240;00003;04;A;00000163
00000027;2026-06-08;459835.53;00003;02;A;00001177;00003;04;A;00000151
00000233;2026-06-08;134085.4;00003;02;A;00001207;00003;04;A;00000156
00000233;2026-06-08;202288.95;00003;02;A;00001229;00003;04;A;00000160
00000233;2026-06-08;666208.4;00003;02;A;00001238;00003;04;A;00000162
00000139;2026-06-11;1013230.35;00003;02;A;00001231;00003;04;A;00000165
00000007;2026-07-08;552475.0;00003;02;A;00001291;00003;04;A;00000166
00000007;2026-07-08;72753.0;00003;02;A;00001262;00003;05;;00007856
00000007;2026-07-08;7324.59;00003;02;A;00001291;00003;05;;00007856
00000275;2026-07-27;1566572.7;00003;02;A;00001162;00003;04;A;00000147
00000275;2026-07-27;1566572.7;00003;02;A;00001163;00003;04;A;00000148
00000268;2026-08-06;249973.9;00003;02;A;00001221;00003;04;A;00000159
00000235;2026-08-06;533039.25;00003;02;B;00000210;00003;04;B;00000055
00000014;2026-08-06;312720.0;00003;02;A;00001318;00003;04;A;00000167
00000021;2026-08-06;23109.44;00003;02;A;00000425;00003;04;A;00000032
00000098;2026-08-06;384777.4;00003;02;A;00001268;00003;04;A;00000164
00000017;2026-09-14;188832.6;00003;02;B;00000211;00003;04;B;00000056
